Date,Competition,Opponent,Scorer,Minute,Assist,Match Score,Match Time (Start)
2025-08-02,Scottish Premiership,Rangers,Emmanuel Longelo,87,Elijah Just,1-1,
2025-08-23,Scottish Premiership,Hearts,Callum Slattery,21,Elliot Watt,3-3,
2025-08-23,Scottish Premiership,Hearts,Tawanda Maswanhise,49,Elijah Just,3-3,
2025-08-23,Scottish Premiership,Hearts,Emmanuel Longelo,62,Elijah Just,3-3,
2025-08-30,Scottish Premiership,Kilmarnock,Tawanda Maswanhise,?,,2-2,
2025-08-30,Scottish Premiership,Kilmarnock,Emmanuel Longelo,?,,2-2,
2025-10-29,Scottish Premiership,Dundee United,Tawanda Maswanhise,42,,2-0,
2025-10-29,Scottish Premiership,Dundee United,Elliot Watt,77,,2-0,
2025-11-01,Scottish League Cup,St Mirren,Callum Hendry,?,,1-4,
2025-11-25,Scottish Premiership,Hibernian,Tawanda Maswanhise,19,,2-0,
2025-11-25,Scottish Premiership,Hibernian,Elijah Just,22,,2-0,
2025-12-06,Scottish Premiership,Livingston,Elliot Watt,18,,3-0,
2025-12-06,Scottish Premiership,Livingston,Apostolos Stamatelopoulos,60,,3-0,
2025-12-06,Scottish Premiership,Livingston,Emmanuel Longelo,88,,3-0
